店铺名,饮食类型,最低消费,评分,商圈,商家地址,商家电话,商家网址
野牧人东北木炭烤肉（紫云汇锦店）,韩式烤肉,0,4.8,108国道,太谷区108国道紫云汇锦商住小区1号楼东起1号商铺,15934434547,https://meishi.meituan.com/i/poi/1179599604
八点一刻生日蛋糕坊,面包蛋糕,0,4.7,阳光花园,太谷区小南街阳光花园D区H28号,15103545687,https://meishi.meituan.com/i/poi/97647296
金可可烘焙生日蛋糕DIY,面包蛋糕,10,4.7,太谷县中心城区,太谷区明星镇明星西街明禄巷24号,19510254007,https://meishi.meituan.com/i/poi/1765202250
顶好蛋糕（康源南路店）,面包蛋糕,0,4.7,西环中路,太谷区西环中路华星小区对面明星就业房2号,13753449611,https://meishi.meituan.com/i/poi/50751265
1980烧烤,烧烤,40,4.7,农业大学,太谷区农大北门晨曦市场10号楼109号,15103404393,https://meishi.meituan.com/i/poi/101815946
刘一锅筋头巴脑,火锅,53,4.7,太谷县中心城区,太谷区紫云汇锦（金谷大道）,0354-6138787,https://meishi.meituan.com/i/poi/961546448
华莱士·全鸡汉堡（鑫港湾店）,西式快餐/汉堡,16,4.6,鑫港湾购物广场,太谷区国泰民安建材市场临街店面N112号,0354-5503435,https://meishi.meituan.com/i/poi/1134014966
重庆石门码头火锅全顺店,老北京火锅,50,4.6,108国道,太谷区明星镇108国道太顺泵业院内,13313440700,https://meishi.meituan.com/i/poi/1921802173
德克士（太谷广场店）,西式快餐/汉堡,25,4.5,108国道,太谷区金谷东街金谷广场御锦新天地一层,0354-6111678,https://meishi.meituan.com/i/poi/193240744
华莱士·全鸡汉堡（南山南路店）,西式快餐/汉堡,20,4.5,太谷县中心城区,太谷区南山南路146号,18535448260,https://meishi.meituan.com/i/poi/1212748777
蜜雪冰城（太谷店）,奶茶/果汁,7,4.5,箕城街,太谷区南门外箕城西街凤仪商城东侧1楼,15136395612,https://meishi.meituan.com/i/poi/164053319
今度烘焙（太谷康源南路店）,面包蛋糕,69,4.5,太谷县中心城区,太谷区幸福街盛达驾校报名处对面,17735471218,https://meishi.meituan.com/i/poi/1957370083
有拈头成都市井火锅（太谷区店）,四川火锅,64,4.5,西环中路,太谷区康源南路佳馨苑商铺6号,13835441889,https://meishi.meituan.com/i/poi/1467464702
喜乐滋蛋糕,面包蛋糕,18,4.5,太谷县中心城区,太谷区北顺城街东65号,15934425600,https://meishi.meituan.com/i/poi/90666695
百年谭鸭血老火锅（太谷店）,四川火锅,64,4.5,太谷县中心城区,太谷区幸福街锦绣苑2号、3号商铺,0354-5503888,https://meishi.meituan.com/i/poi/1195926880
醉爱你优火锅（太洛路店）,重庆火锅,51,4.5,阳光花园,太谷区太洛路阳光花园C区18号商铺,0354-6232929/18703414277,https://meishi.meituan.com/i/poi/94005526
醉爱你优火锅（太洛路店）,重庆火锅,51,4.5,阳光花园,太谷区太洛路阳光花园C区18号商铺,0354-6232929/18703414277,https://meishi.meituan.com/i/poi/94005526
N2U韩式熨斗烤肉,韩式烤肉,70,4.5,108国道,太谷区金谷东街御景新天地购物广场连廊四层,0354-6211950/13453271717,https://meishi.meituan.com/i/poi/1073991997
广盛源成都火锅,火锅,37,4.5,农业大学,太谷区319省道晨曦市场10号楼112号,15103404393,https://meishi.meituan.com/i/poi/165809514
唐贵飛牛排涮烤,融合烤肉,78,4.5,太谷县中心城区,太谷区东云翰林商铺东第一间,0354-8896666/13835686150,https://meishi.meituan.com/i/poi/1576597414
肯德基（太谷箕城街店）,西式快餐/汉堡,0,4.5,箕城街,太谷区新建路49号箕城东街时尚广场一层,15343556180,https://meishi.meituan.com/i/poi/894431971
幸运咖（南门坡店）,咖啡厅,9,4.4,太谷县中心城区,太谷区南大街48号太洲商场一楼第四间,16635014777,https://meishi.meituan.com/i/poi/1126673961
巴氏鲜奶蛋糕,面包甜点,33,4.4,阳光花园,太谷区北顺城街35号（五中南30米）,13400782721,https://meishi.meituan.com/i/poi/4812780
金麦香烘焙艺术蛋糕,面包蛋糕,46,4.4,太谷县中心城区,太谷区北关道25号大门南第二间,18734131925,https://meishi.meituan.com/i/poi/193924382
心滋味甜点屋（西环中路店）,面包蛋糕,32,4.4,西环中路,太谷区康源南路东明星村54号商铺,13994559979,https://meishi.meituan.com/i/poi/1483116394
秘制纸包火烤鱼,烤鱼,30,4.4,108国道,太谷区108国道东云翰林2号楼12号商铺,0354-5503777,https://meishi.meituan.com/i/poi/98395289
东北齐齐哈尔烤肉烧烤（总店）,烧烤,50,4.4,108国道,太谷区108国道紫云汇锦小区东7号商铺,18535444499,https://meishi.meituan.com/i/poi/51156311
小火炉东北烤肉（太谷店）,融合烤肉,52,4.4,西环中路,太谷区康源南路小蹄大作旁边,15003540214,https://meishi.meituan.com/i/poi/1257602259
牛犇犇串串火锅,四川火锅,52,4.4,太谷县中心城区,太谷区金谷西街盛地嘉苑西门,15882844000/18701798052,https://meishi.meituan.com/i/poi/798193099
爱慕轩烘焙之家,面包蛋糕,18,4.4,农业大学,太谷区杨家庄晨曦市场4103号,18003511709,https://meishi.meituan.com/i/poi/76498680
郝掌柜三汁焖锅,焖锅,0,4.4,108国道,太谷区御锦新天地三层餐饮区3-6,18135361300,https://meishi.meituan.com/i/poi/1931453857
益禾堂（农业大学信息学院店）,奶茶/果汁,9,4.3,太谷县中心城区,太谷区山西农业大学信息学院益禾堂,13593061809,https://meishi.meituan.com/i/poi/948336419
悠义寿司（太谷总店）,日式寿司,10,4.3,阳光花园,太谷区小南街阳光小区L05号阳光超市旁,18935463834,https://meishi.meituan.com/i/poi/42297926
蛋糕地带·贝壳生日蛋糕（太谷区农大店）,面包蛋糕,23,4.3,农业大学,太谷区聚富巷43号,13835436495,https://meishi.meituan.com/i/poi/62344464
锅圈食汇火锅烧烤食材超市（西环中路店）,生鲜,23,4.3,西环中路,太谷区西环中路新华书店一楼门面,13935818561,https://meishi.meituan.com/i/poi/193863854
美好·巴氏鲜牛奶（新三中店）,面包甜点,24,4.3,太谷县中心城区,太谷区南山南路恒达中学东20米,13753419757,https://meishi.meituan.com/i/poi/42140918
开源·佳麦饼屋（三中店）,面包甜点,30,4.3,太谷县中心城区,太谷区开源桥南山南路恒达中学对面,13753447942,https://meishi.meituan.com/i/poi/51555646
GreenCafe,咖啡厅,0,4.3,鑫港湾购物广场,太谷区南正街临街（华莱士隔壁）,15234355791,https://meishi.meituan.com/i/poi/1208590392
悸动烧仙草（农大店）,奶茶/果汁,8,4.3,农业大学,太谷区共建路新晨曦市场7号楼128户,13834663059,https://meishi.meituan.com/i/poi/137661167
余乐圈火锅鸡,特色火锅,0,4.3,农业大学,太谷区太东线文昌巷43号,15135407999,https://meishi.meituan.com/i/poi/1810678187
华莱士·全鸡汉堡（农大店）,西式快餐/汉堡,20,4.2,农业大学,太谷区杨家庄村村委会附近星月商店对门 ,15835443138,https://meishi.meituan.com/i/poi/1369538031
N多寿司（太谷区购物中心店）,日式寿司,21,4.2,箕城街,太谷区新建路55号,18635435750,https://meishi.meituan.com/i/poi/537488311
甜啦啦（阳光小区店）,奶茶/果汁,11,4.2,太谷县中心城区,太谷区小南街阳光花园C区,13233442525,https://meishi.meituan.com/i/poi/1391288534
好好吃锅魁（太谷店）,川菜,20,4.2,太谷县中心城区,太谷区丽景华庭A18号,15935430506,https://meishi.meituan.com/i/poi/195037003
沸羊羊大盆骨自助,自助火锅,0,4.2,108国道,太谷区108国道法院往东200米,18435431491,https://meishi.meituan.com/i/poi/827395404
蛋糕地带·贝壳生日蛋糕（太谷区交校店）,面包蛋糕,23,4.2,太谷县中心城区,太谷区南山南路山西交通技师学院南10米,13233012486,https://meishi.meituan.com/i/poi/5055666
仁和兴顺烤羊腿串吧·特色烧烤,烤串,57,4.2,农业大学,太谷区太洛路山西农业大学太谷校区北门西北60米,17835425066/17835425375,https://meishi.meituan.com/i/poi/160144704
小神气黑白嫩仙草（文化广场店）,奶茶/果汁,0,4.2,太谷县中心城区,太谷区安泰佳园5-4商铺,13438833602,https://meishi.meituan.com/i/poi/1524018479
芸豪王婆大虾,海鲜火锅,50,4.2,太谷县中心城区,太谷区东铭馨苑9-10号商铺,13133048310,https://meishi.meituan.com/i/poi/195877543
锅圈食汇火锅烧烤食材超市（南关正街店）,生鲜,23,4.2,鑫港湾购物广场,太谷区南关正街鑫港湾购物中心南侧,18635590823,https://meishi.meituan.com/i/poi/969496297
凯利58（裕祥店）,面包甜点,25,4.2,108国道,太谷区108国道裕祥苑小区2号商铺,18335120389,https://meishi.meituan.com/i/poi/6251126
爱8寸披萨（太谷店）,披萨,24,4.1,太谷县中心城区,太谷区南山南路77号便民市场5号,0354-6226636,https://meishi.meituan.com/i/poi/983125167
德克士（太谷新建店）,西式快餐/汉堡,25,4.1,箕城街,太谷区新建街家家利购物中心一楼,0354-6229898,https://meishi.meituan.com/i/poi/4343874
十三的米线店,米粉,0,4.1,太谷县中心城区,太谷区小南街3号,16603549730,https://meishi.meituan.com/i/poi/1291309919
老史家麻辣香锅（阳光店）,干锅/香锅,0,4.1,阳光花园,太谷区阳光城市花园H区47、48号,18935440757,https://meishi.meituan.com/i/poi/193231932
张亮麻辣烫（太谷店）,麻辣烫,29,4.1,阳光花园,太谷区阳光花园E区28号（太谷中学往东70米路南）,15934404334,https://meishi.meituan.com/i/poi/61931309
luckincoffee瑞幸咖啡（山西农业大学信息学院店）,咖啡厅,30,4.1,农业大学信息学院,太谷区学院路8号山西农业大学信息学院青藤书院B栋一层101商铺,4000100100,https://meishi.meituan.com/i/poi/605536173
澳门酒家,广西菜,0,4.1,太谷县中心城区,太谷区东电小区东南1号,16636454587,https://meishi.meituan.com/i/poi/1326308998
美国加州牛肉面大王（箕城东街店）,面条,19,4.1,阳光花园,太谷区新建路阳光小区B15号,0354-6233515,https://meishi.meituan.com/i/poi/50129315
老史家麻辣香锅（信息学院店）,干锅/香锅,30,4.1,农业大学信息学院,太谷区水秀乡大威村商铺35号,13994576803,https://meishi.meituan.com/i/poi/41652007
转角西餐,西餐,51,4.1,箕城街,太谷区新建路116号家家利广场东侧,0354-6260626/18035414456,https://meishi.meituan.com/i/poi/92057128
旺饺1号自助水饺,综合自助,24,4.1,箕城街,太谷区新建路阳光城市花园A区2?4号商铺2层,17652946700,https://meishi.meituan.com/i/poi/190913136
小刘同学的鲜花蛋糕店,面包蛋糕,88,4.1,鑫港湾购物广场,太谷区水秀镇太洛路与361县道交叉口西北150米,18734444543,https://meishi.meituan.com/i/poi/694710542
重庆家福火锅,自助火锅,0,4.1,太谷县中心城区,太谷区太洛路753道口,0354-6222543/13294662812,https://meishi.meituan.com/i/poi/6931805
青青果园,水果,13,4.1,农业大学,太谷区杨家庄聚富巷51号,18335480487,https://meishi.meituan.com/i/poi/185139635
惠佳乐蛋糕坊,面包蛋糕,34,4.1,太谷县中心城区,太谷区南山南路奥体花苑西门往南50米,0354-3998505,https://meishi.meituan.com/i/poi/4646844
贤合庄卤味火锅（太谷店）,四川火锅,70,4.1,108国道,太谷区水秀镇金谷东街丰辉鑫领域,0354-6111688,https://meishi.meituan.com/i/poi/915065814
文刀木子日式料理,日本料理,0,4.1,108国道,太谷区御锦华府（广场西路）,13835473865,https://meishi.meituan.com/i/poi/502839953
郝记成都地摊鱼（太谷店）,鱼火锅,54,4.1,108国道,太谷区金谷大道,16635426870,https://meishi.meituan.com/i/poi/925865664
鱼生有你,鱼火锅,0,4.1,阳光花园,太谷区小南街阳光小区H区02号,13363447145,https://meishi.meituan.com/i/poi/1254961974
饴鼎源,四川火锅,63,4.1,西环中路,太谷区华星小区原小龙坎,13294660442,https://meishi.meituan.com/i/poi/1103743071
熊猫恋人,奶茶/果汁,0,4.1,108国道,太谷区水秀镇广场西路御景华府横店电影院3楼,18735427330,https://meishi.meituan.com/i/poi/1031555935
鱼恋上虾,烤鱼,26,4.1,农业大学,太谷区山西农业大学北行200米新晨曦市场10号楼107,18835416179,https://meishi.meituan.com/i/poi/175269236
张亮麻辣烫,麻辣烫,33,4,农业大学,太谷区杨家庄聚富巷14号,13603518271,https://meishi.meituan.com/i/poi/1020268070
华莱士·全鸡汉堡（晋中信息学院店）,西式快餐/汉堡,20,4,阳光花园,太谷区威村大门楼向里300米华莱士,15235490785,https://meishi.meituan.com/i/poi/1916877735
杨国福麻辣烫（家家利店）,麻辣烫,27,4,箕城街,太谷区新建路116号临街第七、八间房屋,18536493999,https://meishi.meituan.com/i/poi/682046594
爱尚健身餐厅,农家菜,0,4,箕城街,太谷区西环中路云间香榭小区内,15534438027,https://meishi.meituan.com/i/poi/1832126307
猴子地摊烤肉,韩式烤肉,40,4,农业大学,太谷区农大北校门公交站,13466834250,https://meishi.meituan.com/i/poi/1282107980
东北渔村铁锅炖鱼（太谷店）,东北菜,60,4,108国道,太谷区东云翰林小区2号商铺,18935444377,https://meishi.meituan.com/i/poi/169387263
吉利蛋糕,面包蛋糕,0,4,农业大学,太谷区聚富巷83号杨家庄村冰点娱乐对面,13835463556,https://meishi.meituan.com/i/poi/94089068
小春家炭火烤肉（农业大学店）,韩式烤肉,59,4,农业大学,太谷区共建路晨曦市场四号楼201,15635393456,https://meishi.meituan.com/i/poi/769619466
红太阳延边烧烤城,烧烤,58,4,108国道,太谷区108国道紫云汇锦商住小区1号楼3号商铺（新汽车站西行50米）,15043534666,https://meishi.meituan.com/i/poi/40114039
晋筑玉邸精品酒店(餐饮部),融合菜,150,4,太谷县中心城区,太谷区东海北路12号1号馆2层中餐厅,15234454943/0354-8512999,https://meishi.meituan.com/i/poi/1714737312
藤太郎水煮肉片（阳光店）,特色菜,0,4,阳光花园,太谷区阳光花园H05号,15803440118,https://meishi.meituan.com/i/poi/1660445692
福前小酥肉（御锦店）,快餐简餐,17,3.9,108国道,太谷区广场西路御锦新天地三楼美食广场,18935116825,https://meishi.meituan.com/i/poi/1470621851
阿牛哥烤肉,综合自助,0,3.9,太谷县中心城区,太谷区山西交通技师学院,17335156000,https://meishi.meituan.com/i/poi/1463556939
梦思味蛋糕坊,面包蛋糕,88,3.9,太谷县中心城区,太谷区南大街73号,18046217204,https://meishi.meituan.com/i/poi/74838241
维尔纳斯意大利手工艺蛋糕（太谷店）,面包蛋糕,67,3.9,太谷县中心城区,太谷区兴旺街18号,18835409766/16634204489,https://meishi.meituan.com/i/poi/578070599
京城前门涮肉,老北京火锅,66,3.9,108国道,太谷区丰辉·鑫领域西,17535430587,https://meishi.meituan.com/i/poi/1327140844
徐妹串串香,串串香,35,3.9,阳光花园,太谷区阳光花园,18404968009,https://meishi.meituan.com/i/poi/595994229
秦小妹市井小吃,肉夹馍,0,3.8,108国道,太谷区御锦新天地购物广场连廊A3号,18434437968,https://meishi.meituan.com/i/poi/1147719759
英伦时光面包,面包蛋糕,30,3.8,箕城街,太谷区箕城西街安泰底层4号商铺（中国银行旁）,0354-3510071,https://meishi.meituan.com/i/poi/94190242
鸿记煌三汁焖锅（太谷店）,干锅/香锅,71,3.8,农业大学,太谷区新晨曦市场9号楼104号商铺,13753027226,https://meishi.meituan.com/i/poi/154180562
巴蜀老大纸包鱼（太谷店）,烤鱼,35,3.8,西环中路,太谷区西环中路佳馨苑小区8号商铺,13466885310,https://meishi.meituan.com/i/poi/107035748
曼宁家泰式海鲜火锅,火锅,60,3.8,108国道,太谷区御景华府连廊3楼,13593083818,https://meishi.meituan.com/i/poi/1318022266
金顶鲜·羊排大虾和自助烤肉29一位（太谷店）,牛羊肉火锅,50,3.8,太谷县中心城区,太谷区龙升酒店旁边旁边金顶鲜,16634200710,https://meishi.meituan.com/i/poi/1430454057
华莱士·全鸡汉堡（太谷阳光店）,西式快餐/汉堡,23,3.7,阳光花园,太谷区小南街阳光城市花园H区58号,13700555070,https://meishi.meituan.com/i/poi/180590036
牛上皇·涮丨烤丨蒸·牛肉（太谷区店）,火锅,51,3.7,太谷县中心城区,太谷区锦贤名苑8号楼8号商铺,15235457057,https://meishi.meituan.com/i/poi/1045605960
积膳堂,特色菜,142,3.7,太谷县中心城区,太谷区水秀乡东海北路山西省文化产业园区三号馆（山西省文化产业园内）,19935411261/0354-6213789,https://meishi.meituan.com/i/poi/195928969
积膳堂,特色菜,142,3.7,太谷县中心城区,太谷区水秀乡东海北路山西省文化产业园区三号馆（山西省文化产业园内）,19935411261/0354-6213789,https://meishi.meituan.com/i/poi/195928969
米小姐肉蟹煲（晋中太谷店）,快餐简餐,0,3.7,太谷县中心城区,太谷区金谷东街丰辉鑫领域2号,18734445215/16634200243,https://meishi.meituan.com/i/poi/1962041763
祥云楼铜锅涮肉,老北京火锅,65,3.6,西环中路,太谷区西环中路53号,0354-6228000,https://meishi.meituan.com/i/poi/878622855
碧景华府自助涮烤城,综合自助,41,3.5,108国道,太谷区东海北路田丰商业区田丰美食城隔壁,0354-6449585/13485488895,https://meishi.meituan.com/i/poi/42274262
大嘴王婆大虾农大店（农大店）,干锅/香锅,34,3.5,农业大学,太谷区新晨曦市场6号楼101号,13754849977,https://meishi.meituan.com/i/poi/175511624
豪食汇涮烤自助火锅烤肉海鲜,自助火锅,0,3.5,太谷县中心城区,太谷区西关正街6号,17645594777,https://meishi.meituan.com/i/poi/1481780789
杨国福麻辣烫（御锦新天地店）,米粉,27,0,108国道,太谷区御锦新天地连廊区一层6号商铺,18835403969/18536493999,https://meishi.meituan.com/i/poi/1062828608
无名缘米粉（南门坡美食城广场店）,米粉,15,0,太谷县中心城区,太谷区南门坡美食城广场档口,13466833947,https://meishi.meituan.com/i/poi/1763518139
尚缘过桥米线,过桥米线,0,0,太谷县中心城区,太谷区西关正街12号,13546233808,https://meishi.meituan.com/i/poi/993471120
冰语时间,奶茶/果汁,0,0,阳光花园,太谷区阳光花园西区B12商铺,15803440636,https://meishi.meituan.com/i/poi/1092714652
嗨吃小吃店,炸鸡炸串,10,0,西环中路,太谷区明星小区新宝宝亲子园旁,18434775599,https://meishi.meituan.com/i/poi/1087759181
疆域宴新疆风味餐厅,新疆菜,0,0,太谷县中心城区,太谷区田丰商业区20号,18635452017,https://meishi.meituan.com/i/poi/751615442
伯爵音乐餐厅,西餐,0,0,箕城街,太谷区箕城东街49号,18234443706,https://meishi.meituan.com/i/poi/1335685887
人民公社炒菜馆,特色菜,0,0,阳光花园,太谷区侯城乡太洛路火车站广场,15935411756,https://meishi.meituan.com/i/poi/1797649932
锅圈食汇火锅烧烤食材（东海南路店）,生鲜,25,0,太谷县中心城区,太谷区东海南路五中门口锅圈食汇,13453205203,https://meishi.meituan.com/i/poi/1454191449
诚信志远果业（02店）,水果,0,0,太谷县中心城区,太谷区西环路11号,18835413108,https://meishi.meituan.com/i/poi/166617429
sev mekg网红生日蛋糕（太谷店）,面包蛋糕,0,0,农业大学,太谷区杨家庄村聚富巷50号,18334720828/18434628822,https://meishi.meituan.com/i/poi/609822177
锅圈食汇火锅烧烤食材（南山南路店）,生鲜,37,0,,太谷区南山南路丽景华庭门市,13453205203,https://meishi.meituan.com/i/poi/1267921456
米多福,韩国菜,0,0,太谷县中心城区,太谷区南山南路便民市场41号,18135411635,https://meishi.meituan.com/i/poi/1091397289
